quick,100,626,446,1554880
select,100,4950,100,2244342
insert,100,2849,2757,1819564
heap,100,1015,576,357570
mquick,100,629,447,315280
quick,100,663,450,340201
select,100,4950,100,1011162
insert,100,2684,2590,1479740
heap,100,1019,577,294514
mquick,100,666,451,209557
quick,100,621,404,188035
select,100,4950,100,714762
insert,100,2751,2658,696260
heap,100,1015,579,235610
mquick,100,624,405,139705
quick,100,589,355,109121
select,100,4950,100,258643
insert,100,2286,2188,308106
heap,100,1031,591,83068
mquick,100,592,356,67210
quick,100,654,388,65322
select,100,4950,100,122336
insert,100,2542,2446,329629
heap,100,1019,577,159717
mquick,100,557,316,112897
quick,100,733,406,130265
select,100,4950,100,221640
insert,100,2678,2584,472732
heap,100,1019,571,77404
mquick,100,591,414,68720
quick,100,665,451,65322
select,100,4950,100,117050
insert,100,2321,2225,248826
heap,100,1026,584,78160
mquick,100,722,488,75516
quick,100,880,407,67209
select,100,4950,100,117428
insert,100,2426,2330,263174
heap,100,1038,591,147634
mquick,100,727,442,193699
quick,100,623,398,112897
select,100,4950,100,286961
insert,100,2559,2465,512755
heap,100,1020,580,130643
mquick,100,626,399,111764
quick,100,631,389,105723
select,100,4950,100,388531
insert,100,2421,2327,488213
heap,100,1035,594,126867
mquick,100,600,411,132531
quick,100,642,445,104590
select,100,4950,100,211068
insert,100,2578,2484,568637
heap,100,1024,579,143103
mquick,100,720,464,134796
quick,100,624,372,106856
select,100,4950,100,227682
insert,100,2716,2625,603753
heap,100,1030,578,137817
mquick,100,633,378,117428
quick,100,663,410,115540
select,100,4950,100,231080
insert,100,2719,2624,605262
heap,100,1031,577,162738
mquick,100,616,428,1071576
quick,100,581,396,101192
select,100,4950,100,211823
insert,100,2745,2651,631316
heap,100,1024,572,125357
mquick,100,670,352,113274
quick,100,671,482,121581
select,100,4950,100,224661
insert,100,2605,2509,595823
heap,100,1034,586,129510
mquick,100,674,483,129510
quick,100,570,435,102702
select,100,4950,100,220885
insert,100,2259,2164,515776
heap,100,1021,575,137817
mquick,100,573,436,128378
quick,100,592,373,108366
select,100,4950,100,237121
insert,100,2521,2425,570147
heap,100,1031,582,150655
mquick,100,595,374,126112
quick,100,695,448,108744
